  PID TTY      STAT   TIME COMMAND
 2427 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.10 /org/gtk/gvfs/exec_spaw/0
 2438 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.10 /org/gtk/gvfs/exec_spaw/1
 2456 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2458 ?        Sl     0:00 telepathy-indicator
 2473 ?        Sl     3:17 /usr/lib/firefox/firefox
 2481 ?        Sl     0:00 zeitgeist-datahub
 2486 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2496 ?        Sl     0:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
 2515 ?        S      0:00 /bin/cat
 2523 ?        Sl     0:00 /usr/lib/libunity-webapps/unity-webapps-service
 2547 ?        Sl     0:00 /usr/lib/evolution/3.10/evolution-alarm-notify
 2622 ?        Sl     0:00 update-notifier
 2634 ?        Sl     0:11 gnome-terminal
 2646 ?        S      0:00 gnome-pty-helper
 2647 pts/1    Ss     0:00 bash
 2667 ?        SNl    1:57 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
 2697 ?        Sl     0:00 /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
 2714 pts/1    Tl     0:00 ./filosofi
 2720 ?        Sl     2:02 gedit
 2841 ?        S      0:00 [kworker/1:4]
 3130 ?        S<     0:00 [kworker/1:1H]
 3174 ?        S      0:01 [kworker/u4:56]
 3189 ?        S<     0:00 [hci0]
 3190 ?        S<     0:00 [hci0]
 3527 ?        S      0:01 [kworker/0:0]
 3545 ?        S      0:00 [kworker/1:0]
 3576 ?        S      0:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-wlan0.pid -lf /var/lib/NetworkManager/dhclient-f7461353-d653-4614-aaaa-f573fc50362e-wlan0.lease -cf /var/lib/NetworkManager/dhclient-wlan0.conf wlan0
 3675 ?        S      0:00 [kworker/u4:0]
 3756 ?        S      0:00 [kworker/0:2]
 3771 ?        S      0:00 [kworker/u4:1]
 3772 pts/1    T      0:00 more processes.txt
 3791 ?        S      0:00 [kworker/0:1]
 3793 pts/1    R+     0:00 ps -ax
 3794 pts/1    D+     0:00 bash
 3795 pts/1    S+     0:00 more
